Nom_media,Ville
PLUM' FM,Sérent
Ouest-France,Lorient
Ouest-France,Vannes
Ouest-France,Pontivy
Ouest-France,Auray
Ouest-France,Ploërmel
Océane FM,Questembert
Les Infos Pays de Ploërmel,Ploërmel
Les infos du pays Gallo,Caro
Le Télégramme,Pontivy
Le Télégramme,Vannes
Le Ploërmelais,Ploërmel
Le Journal des entreprises,Vannes
La Gazette du Centre Morbihan,Locminé
Jaime Radio,Lorient
Îl(e)s,Lorient
Gazette de Belle Ile,Le Palais
France 3 Bretagne,Lorient
Bro Gwened,Pontivy
Belle-Ile en diagonales - le média des gens d'ici | La une,Le Palais
Actu Morbihan,Vannes
Radio Coup De Foudre,Carrouges
Ouest-France,Flers
Ouest-France,Argentan
Mayenne Infos,Domfront en Poiraie
Le Publicateur Libre,Domfront en Poiraie
Le Journal de l'Orne,Argentan
L'Orne Combattante,Flers
Elios média,Lescar
Xiberoko Botza,Mauléon-Licharre
Xibero Telebista,Mauléon-Licharre
TVPI,Bidart
Sud-Ouest,Pau
Sud-Ouest,Biarritz
Sud-Ouest,Saint-Jean-de-Luz
Sud-Ouest,Orthez
Sud-Ouest,Anglet
Radio Star,Aïcirits-Camou-Suhast
Ràdio País,Pau
Radio Pais,Pau
Radio Oloron,Oloron-Sainte-Marie
Radio Kultura,Hasparren
Radio Kultura,Hasparren
RADIO INSIDE,Lescar
Radio Euro-Infos-Pyrénées-Métropole FM (REIPM FM),Pau
Radio Bonne Humeur,Bidart
Presse Lib',Pau
Pau D'Ousse,Pau
Miroir de la Soule,Mauléon-Licharre
Mendi Lilia,Mauléon-Licharre
Mediabask,Urrugne
MEDIABASK,Urrugne
Les Petites Affiches 64,Pau
Le Sillon,Pau
Lapurdi Irrtia,Bayonne
La voix du Béarn,Pau
la Semaine du Pays Basque,Biarritz
La République des Pyrénées,Pau
La République des Pyrénées,Oloron-Sainte-Marie
La République des Pyrénées,Orthez
L'éclair,Pau
KAZETA,Urrugne
Kanaldude,Bidarray
Irulegiko Irratia,Saint-Jean-Pied-de-Port
Ipar Euskal Herriko Hitza,Bayonne
Herria,Bayonne
Gure Irratia,Ustaritz
France Bleu Pays Basque,Bayonne
France Bleu Béarn,Pau
France 3 Nouvelle Aquitaine,Bayonne
France 3,Pau
Euskal Irratiak,Saint-Jean-Pied-de-Port
Enbata,Bayonne
Berria,Bayonne
Antxeta Irratia,Hendaye
Adour Presse Com,Géronce
Actu Pays Basque,Lahonce
Présence Lourdes-Pyrénées,Lourdes
La Nouvelle République des Pyrénées,Lourdes
La Dépêche du Midi,Lourdes
L'Essor Bigourdan,Lourdes
Fréquence Luz,Luz-Saint-Sauveur
Ouest-France,La Flèche
Ouest-France,Sablé-sur-Sarthe
Les Nouvelles de Sablé,Sablé-sur-Sarthe
Les Nouvelles – L'Echo Fléchois,Sablé-sur-Sarthe
Les Alpes Mancelles,Sillé-le-Guillaume
Fréquence Sillé FM,Sillé-le-Guillaume
Côté la Flèche,Sablé-sur-Sarthe
Radio Val D'Or,Airvault
Radio Gatine,Parthenay
Le Picton,Parthenay
La Nouvelle République du Centre-Ouest,Thouars
La Nouvelle République du Centre-Ouest,Parthenay
La Nouvelle République du Centre-Ouest,Bressuire
La Nouvelle République du Centre-Ouest,Niort
La Concorde,Melle
France 3 Nouvelle Aquitaine,Niort
D4B,Melle
Collines FM,Cerizay
Agri 79,Prahecq
Virgin Radio Vendée,La Roche-sur-Yon
Vendée Première,Challans
TV Vendée,Dompierre-sur-Yon
Télé Luçon Sud Vendée,Luçon
RCF Vendée,La Roche-sur-Yon
Ouest-France,Challans
Ouest-France,Saint-Gilles-Croix-de-Vie
Ouest-France,Les Sables-d'Olonne
Ouest-France,La Roche-sur-Yon
Ouest-France,Fontenay-le-Comte
Ouest-France,Les Herbiers
Nov FM,Saint-Gervais
Neptune FM,L'Île-d'Yeu
Ma ville solidaire,La Roche-sur-Yon
Les Sables Vendée Journal,Les Sables-d'Olonne
Le Reporter Sablais,Les Sables-d'Olonne
Le Journal du Pays Yonnais,La Roche-sur-Yon
Le Journal des Sables,Les Sables-d'Olonne
Le Courrier Vendéen,Challans
La WebTV insulaire,L'Île-d'Yeu
La Vendée agricole,La Roche-sur-Yon
Graffiti Urban Radio,La Roche-sur-Yon
France 3,La Roche-sur-Yon
Demain Vendée,Les Herbiers
Alouette,Les Herbiers
Zones,Ferney-Voltaire
RCF Pays de l'Ain,Bourg-en-Bresse
Radio Campus Tours,Bourg-en-Bresse
Radio B,Bourg-en-Bresse
Peuple Libre,Bourg-en-Bresse
Passion FM (PFM),Bellignat
Magville Oyonnax,Bourg-en-Bresse
Magville Mâcon,Bourg-en-Bresse
Magville Bourg-en-Bresse,Bourg-en-Bresse
Le Progrès,Béligneux
Le Progrès,Oyonnax
Le Progrès,Ambérieu-en-Bugey
Le Progrès,Bourg-en-Bresse
Le Pays Gessien,Valserhône
Le Pays Gessien,Valserhône
Le Journal du Bugey,Ambérieu-en-Bugey
Le Journal de la Côtière,Montluel
La Voix de l'Ain,Bourg-en-Bresse
L'Aindépendant,Feillens
L’Ain Agricole,Bourg-en-Bresse
France 3 Rhone Alpes Auvergne,Bourg-en-Bresse
France 3 Hauts De France,Soissons
FC Radio,Montluel
Exil Sorgia FM,Valserhône
Eco de l'Ain,Saint-Denis-lès-Bourg
R2M La Radio Plus,Château-Thierry
N Radio,Soissons
MaTélé,Saint-Quentin
Le Vase Communicant,Soissons
Le Démocrate de l'Aisne,Vervins
Le Courrier – La Gazette,Hirson
La Thiérache,Vervins
L'Union,Laon
L'Aisne nouvelle,Tergnier
L'Aisne nouvelle,Guise
L'Aisne nouvelle,Saint-Quentin
L'Agriculteur de l'Aisne,Laon
3Des,Proviseux-et-Plesnoy
Tartasse,Marcillat-en-Combraille
StylMF,Moulins
RMB,Montluçon
Regard Actu,Durdat-Larequille
RCF Allier,Moulins
Radio Coquelicot,Ébreuil
Qui Qu'En Grogne,Bourbon-l'Archambault
La Semaine de l'Allier,Moulins
La Montagne,Montluçon
La Montagne,Moulins
La Montagne,Vichy
L'esprit Sport et bien-être,Moulins
L’Aurore du Bourbonnais,Moulins
Jeunes Frequence Montluçon (Rjm),Montluçon
France 3 Rhone Alpes Auvergne,Moulins
Coquelicot,Ébreuil
Clash FM,Diou
Bocage,Moulins
Zinzine,Limans
Verdon,Castellane
Radio Zinzine,Limans
Oxygene Ubaye Val D'Allos,Allos
La Provence,Digne-les-Bains
La Provence,Manosque
La Canarde Sauvage,Reillanne
Haute-Provence Info,Manosque
Haute Provence Info,Manosque
Fréquence Mistral,Castellane
Fréquence Mistral,Sisteron
Fréquence Mistral,Digne les Bains
Fréquence Mistral,Manosque
France 3 Mediterranee,Digne-les-Bains
RCF Alpes-Provence,Gap
Radio Alpine Meilleure (R.A.M),Embrun
Les Cotentinois,Gap
Le Dauphiné Libéré,Briançon
Le Dauphiné Libéré,Gap
Imagine,L'Argentière-la-Bessée
Fréquence Mistral,Briançon
Fréquence Mistral,Gap
France 3 Mediterranee,Gap
BFM DICI,Chorges
Alpes et Midi,Gap
Alpes et Midi,Gap
Alpes 1,Gap
France 3 Côte d’Azur,Antibes
Vallée,Breil-sur-Roya
Tribune Bulletin Côte d'Azur,Nice
Tribuca,Nice
Studio Zef,Nice
Sequence Radio,Antibes
RCF Nice Côte d'Azur,Nice
Petites Affiches des Alpes Maritimes,Nice
Patriote Côte d'Azur,La Trinité
Oxygene Hautes-Alpes,Péone
Oxygene -6,Nice
Nice-Presse,Nice
Nice Matin,Cagnes-sur-Mer
Nice Matin,Antibes
Nice Matin,Cannes
Nice Matin,Grasse
Nice Matin,Menton
Nice Matin,Nice
Ligne 16,Nice
La Strada,Saint-Laurent-du-Var
L'Essentiel Nice,Nice
L'Avenir Côte d'Azur,Cannes
L'Avenir Côte d'Azur,Nice
L'Avenir Côte d'Azur,Cannes
Kiss FM,Nice
Grimaldi FM,Puget-Théniers
Grimaldi FM,Le Cannet
GrasseMat Info,Grasse
Fréquence K,Carros
France Bleu Azur,Nice
France 3 Mediterranee,Nice
France 3,Menton
Clin D'Œil FM,Valbonne
Chalom Nitsan,Nice
Cannes Radio,Cannes
BFM Nice Côte d'Azur,Nice
Association -6 / Radio As,Le Cannet
Agora Côte D'Azur,Grasse
Actu Nice,Nice
RCF Ardèche,Privas
RADIO DES BOUTIERES (RDB),Le Cheylard
Le Réveil Vivarais,Annonay
Le Dauphiné Libéré,Annonay
Le Dauphiné Libéré,Aubenas
Le Dauphiné Libéré,Privas
La Tribune LJT Tournon,Tournon-sur-Rhône
La Tribune de l'Ardèche,Aubenas
L’Avenir Agricole de l’Ardèche,Privas
Info Rc,Aubenas
Identite Martinique,Privas
Fréquence 7,Aubenas
France 3,Aubenas
Déclic,Tournon-sur-Rhône
RVM,Charleville-Mézières
Revin WebTV,Revin
RADIO 8,Sedan
La Semaine des Ardennes,Charleville-Mézières
L'Union,Charleville-Mézières
Fugi,Givet
France 3,Charleville-Mézieres
Bouton,Flize
Agri Ardennes,Charleville-Mézières
Transparence,Foix
Terres d'Ariège,Foix
RDC RAdio Couserans,Saint-Girons
Radio Transparence,Foix
Pyrénées FM,Montaillou
Pyrénées FM,Montaillou
Oxygène FM,Pamiers
Latitude FM,Pont-Sainte-Marie
La Télé buissonnière,Foix
La Locale,Saint-Girons
La Gazette Ariégeoise,Foix
La Dépêche du Midi,Pamiers
La Dépêche du Midi,Foix
France 3 Sud,Foix
Aube &amp; Seine,Romilly-sur-Seine
Theme,Saint-André-les-Vergers
Radio LATITUDE,Pont-Sainte-Marie
Latitude,Pont-Sainte-Marie
La revue agricole de l'Aube,Troyes
La dépêche de l'Aube,Troyes
L'Est-Éclair / Libération Champagne,Troyes
L'Est Eclair,Bar-sur-Seine
L'Est Eclair,Romilly-sur-Seine
L'Est Eclair,Troyes
France 3 Lorraine Champagne-Ardenne,Troyes
Canal 32,Saint-André-les-Vergers
Campus Troyes,Troyes
RCF Pays d'Aude,Carcassonne
Marseillette,Marseillette
Lenga D'Oc Narbona,Narbonne
Le Midi Libre,Carcassonne
Le Midi Libre,Narbonne
La Dépêche du Midi,Castelnaudary
La Dépêche du Midi,Narbonne
La Dépêche du Midi,Limoux
La Dépêche du Midi,Carcassonne
L'Indépendant,Lézignan-Corbières
L'Indépendant,Castelnaudary
L'Indépendant,Carcassonne
L'Indépendant,Limoux
L'Indépendant,Quillan
L'Indépendant,Narbonne
L'Indépendant,Port-la-Nouvelle
L'Echo du Languedoc,Narbonne
Grand Sud FM,Narbonne
France 3,Carcassonne
Famosa (femmes en Périgord),Carcassonne
Contact FM,Carcassonne
Ballade,Espéraza
Totem,Luc-la-Primaube
Temps Rodez,Rodez
Saint-Affrique,Saint-Affrique
Patrimòni,Alrance
Millavois,Millau
Le Progrès Saint Affricain,Saint-Affrique
Le Midi Libre,Rodez
Le Midi Libre,Millau
Le Midi Libre,Decazeville
Larzac,Millau
La Volonté Paysanne,Rodez
La Dépêche du Midi,Rodez
La Dépêche du Midi,Villefranche-de-Rouergue
La Dépêche du Midi,Decazeville
L'Hebdo,Rodez
L'Empaillé,Marcillac-Vallon
Journal de Millau,Millau
Gardarem Lo Larzac,La Roque-Sainte-Marguerite
